Date,Open,High,Low,Close,Adj Close,Volume
2022-09-16,29.900000,30.340000,29.600000,30.200001,30.200001,17039017
2022-09-19,30.299999,31.600000,30.080000,30.080000,30.080000,14302308
2022-09-20,30.180000,30.840000,29.299999,29.980000,29.980000,8108727
2022-09-21,30.040001,30.500000,29.559999,29.700001,29.700001,7090421
2022-09-22,31.240000,32.660000,31.200001,32.660000,32.660000,23458854
2022-09-23,33.680000,35.919998,33.540001,34.279999,34.279999,42820054
2022-09-26,34.279999,35.599998,33.080002,33.500000,33.500000,22739114
2022-09-27,33.520000,33.959999,32.299999,32.880001,32.880001,10706817
2022-09-28,32.700001,34.439999,32.380001,32.700001,32.700001,15846676
2022-09-29,32.840000,34.580002,32.240002,34.000000,34.000000,19244594
2022-09-30,34.020000,37.400002,33.599998,36.880001,36.880001,27547710
2022-10-03,37.279999,38.680000,36.619999,37.500000,37.500000,22022304
2022-10-04,38.240002,40.980000,37.599998,40.599998,40.599998,24940880
2022-10-05,40.980000,42.320000,39.360001,39.680000,39.680000,28639342
2022-10-06,39.880001,40.360001,38.880001,39.000000,39.000000,14939837
2022-10-07,39.099998,39.820000,38.700001,39.000000,39.000000,17669629
2022-10-10,39.099998,39.360001,38.180000,38.220001,38.220001,10970952
2022-10-11,38.380001,39.439999,38.220001,38.400002,38.400002,13077368
2022-10-12,38.459999,40.700001,38.119999,40.700001,40.700001,16495133
2022-10-13,40.700001,44.000000,40.400002,43.020000,43.020000,26733510
2022-10-14,43.500000,44.380001,42.020000,42.500000,42.500000,16785051
2022-10-17,42.980000,44.820000,42.500000,44.099998,44.099998,17578702
2022-10-18,44.599998,44.980000,42.400002,42.799999,42.799999,12633640
2022-10-19,43.020000,43.759998,41.720001,41.740002,41.740002,10929552
2022-10-20,41.880001,42.400002,40.619999,41.500000,41.500000,16355044
2022-10-21,41.500000,43.340000,40.459999,42.480000,42.480000,22785879
2022-10-24,42.639999,43.080002,41.439999,41.779999,41.779999,11971672
2022-10-25,41.880001,41.980000,40.340000,40.900002,40.900002,13147267
2022-10-26,42.220001,43.040001,41.360001,42.599998,42.599998,16591972
2022-10-27,42.580002,42.580002,41.060001,41.200001,41.200001,7443773
2022-10-28,41.139999,41.320000,40.400002,40.400002,40.400002,3326350
2022-10-31,40.619999,41.680000,40.560001,41.400002,41.400002,9033165
2022-11-01,41.900002,44.439999,41.660000,44.360001,44.360001,19458947
2022-11-02,44.419998,47.320000,43.759998,45.660000,45.660000,20019489
2022-11-03,45.759998,46.500000,44.680000,45.099998,45.099998,10154231
2022-11-04,45.259998,47.500000,45.099998,47.000000,47.000000,14247582
2022-11-07,47.299999,49.299999,46.980000,46.980000,46.980000,14773275
2022-11-08,46.299999,47.139999,45.299999,45.619999,45.619999,16831340
2022-11-09,46.020000,48.599998,46.020000,47.639999,47.639999,18938514
2022-11-10,47.200001,48.020000,46.619999,47.380001,47.380001,11611898
2022-11-11,47.360001,47.500000,45.619999,46.000000,46.000000,12153038
2022-11-14,46.040001,48.980000,46.040001,48.180000,48.180000,15995790
2022-11-15,48.779999,51.000000,48.060001,50.349998,50.349998,22753974
2022-11-16,50.500000,50.700001,47.919998,48.000000,48.000000,13247243
2022-11-17,48.020000,48.099998,45.139999,46.000000,46.000000,11407425
2022-11-18,46.439999,47.419998,46.099998,46.779999,46.779999,7324051
2022-11-21,48.599998,48.799999,47.660000,48.500000,48.500000,10323776
2022-11-22,48.540001,50.000000,48.240002,49.720001,49.720001,16065849
2022-11-23,49.900002,50.500000,48.380001,49.139999,49.139999,12786237
2022-11-24,49.759998,50.950001,49.180000,50.049999,50.049999,16837256
2022-11-25,51.450001,53.549999,50.750000,53.049999,53.049999,18111642
2022-11-28,53.849998,54.450001,51.000000,51.000000,51.000000,15921383
2022-11-29,51.400002,51.599998,49.740002,50.200001,50.200001,11229590
2022-11-30,50.599998,51.700001,49.520000,49.520000,49.520000,24156727
2022-12-01,50.549999,51.950001,50.000000,50.700001,50.700001,16132766
2022-12-02,50.849998,51.299999,49.619999,50.049999,50.049999,11935101
2022-12-05,50.650002,50.900002,49.200001,49.919998,49.919998,12280070
2022-12-06,49.959999,51.450001,49.240002,50.799999,50.799999,13168169
2022-12-07,50.799999,51.150002,48.000000,48.139999,48.139999,15269265
2022-12-08,48.139999,48.340000,45.860001,46.939999,46.939999,11232205
